comment_no	user_id_no	contents	reg_time	sympathy_count	antipathy_count
1871825283	sbrh****	리얼미터는 정권바뀌면 아마...사형당할거 같다 !!  아무리 조사지만 국민들의 심리와 돝떨어진 결과를 도출하는 건 설문조사를 어떻게 진행했는지 공개하라	2019-10-01T15:52:23+0900	5	0
1871825213	youn****	범죄자가 대선후보? ㅋㅋㅋㅋ 기가찬다 이게나라냐 ㅋㅋ	2019-10-01T15:52:21+0900	11	1
1871823263	swth****	이걸 조사라고 한거냐? 조사 한 놈이나 대답한 놈이나 미친건 마찬가지다 대한민국이 미쳐 날뛰고 있구나 내가 여기를 하루 빨리 떠야겠다. 꼴보기 싫은거 더이상 보기 싫다	2019-10-01T15:50:54+0900	2	0
1871810653	saab****	범죄자가 왜 후보죠	2019-10-01T15:40:30+0900	11	0
1871804603	hong****	적폐거리면서 깨끗한척해서 얼마나 청렴하나 했더니 썩은 구정물이었네.대통령?조국이  당선되면 진짜 내가 장을지진다	2019-10-01T15:36:33+0900	5	1
1871801613	fire****	감옥 들어가야 할 인간이 무슨 대선후보냐? 조국 지지하는 자들은 창피한 줄 알아라.	2019-10-01T15:34:12+0900	6	2
1871801483	tktm****	웃긴다! 조국이 대선후보?ㅋㅋㅋ  대박! 사모펀드 크게해서 일본에 나라팔어먹을일 있냐? 이 친일파들아!	2019-10-01T15:34:08+0900	3	0
1871793113	jsp3****	조국장관 지지하는 사람  이상한 도시 사람  아닐까.	2019-10-01T15:26:36+0900	3	2
1871788003	sobu****	제발 기자 놈들은 조국장관을 욕되게 하지마라  니들 멋대로 찍어갖다  부쳐서  사람  염장지르지 마라고  일 잘하고있구만	2019-10-01T15:22:29+0900	0	1
1871787593	hanl****	말도 안되는 여론 조작하고는....이걸 누가 믿냐?  ㅉㅉㅉ	2019-10-01T15:22:13+0900	6	0
1871787193	bomm****	황교활이가 2위라니 진짜 말세다 참...  법무부장관, 국무총리때 이 나라가 어땠는지 깜빡깜빡 하나보네. 태극기부대들은 늙어서 그런가 자꾸 잊나봄ㅋㅋㅋ	2019-10-01T15:21:46+0900	7	4
1871778253	suuu****	리얼미터와 한겨레의 콜라보	2019-10-01T15:13:43+0900	2	0
1871772773	lsi2****	한겨레  그만해라...제정신이아니구만 ...	2019-10-01T15:09:15+0900	4	0
1871771813	juno****	조국? 나라가 아주 미쳐 돌아가는구나. 왜 아예 최순실하고 같이 런닝메이트를하지?	2019-10-01T15:08:26+0900	7	0
1871771123	hiph****	ㅋㅋㅋㅋㅋㅋㅋㅋ 기가찬다	2019-10-01T15:07:49+0900	0	0
1871768103	doov****	조국이 대권후보? 미쳤구나.. ㅋㅋㅋㅋㅋㅋㅋ	2019-10-01T15:05:06+0900	6	1
1871766563	joon****	말세네 저런위선자가 3위라니? 태극기부대 그렇게 욕하더니 이제 똑같네..	2019-10-01T15:03:50+0900	5	0
1871766343	tapd****	그의 학문 연구는  오로지 왕 미꾸라지를 더욱 메끄럽게하는데에 기여를 했다. 최소한 이 많은 국민을 열받게 한 죄는 하늘을 찌를 것이다.	2019-10-01T15:03:40+0900	1	0
1871765533	smho****	할일없는 사오십대 인간말종 그으지 해충종자들 밥쳐먹고 기어나와 악플다네~ 악플다는 쓰레기만도 못한 바퀴벌레종자들은 동반해서 당장에 말기암이나 걸려 죽어 지옥가버려라	2019-10-01T15:03:00+0900	0	1
1871765343	joe1****	이야 어쩌다 대한민국이 이리 처참하게 망가졌냐?	2019-10-01T15:02:46+0900	4	0
1871764423	shin****	장난질하지마라	2019-10-01T15:01:46+0900	2	0
1871763043	gale****	희안하네. 리얼미터 조사는 왜 전부 조국에게 유리하지? 저런 인간이 대통령후보래.	2019-10-01T15:00:36+0900	5	0
